木	mù	albero
一	yī	uno
不	bù	non
女	nǚ	femminile
大	dà	grande
八	bā	otto
力	lì	forza
马	mǎ	cavallo
米	mǐ	metro,riso
爸爸	bàba	papà
妈妈	māma	mamma
你好	nǐhǎo	salve,ciao
口	kǒu	bocca
明	míng	luminoso
好	hǎo	bene,buono
课	kè	lezione
谢谢	xièxie	grazie
现在	xiànzài	adesso
学习	xuéxí	studiare
学生	xuésheng	studente
再见	zàijiàn	arrivederci
他	tā	lui,egli
她	tā	lei,ella
他们	tāmen	loro,essi
她们	tāmen	elle,esse
我	wǒ	io
我们	wǒmen	noi
你	nǐ	tu
你们	nǐmen	voi
休息	xiūxi	riposare
吃	chī	mangiare
老师	lǎoshī	insegnante,professore,maestro
对不起	duìbuqǐ	scusa,mi dispiace
是	shì	essere,copula
谁	shuí,sheí	chi?
吗	ma	particella interrogativa forte
同学	tóngxué	compagno,compagno di classe
和	hé	e,congiunzione
也	yě	anche
朋友	péngyou	amico
意大利	yìdàlì	italia
小	xiǎo	piccolo
雨	yǔ	pioggia
说	shuō	dire
都	doǔ	entrambi,tutti,ambo
呢	ne	e...?,...e?,e?
