chinese	pinyin	translations	difficulty
木	mù	albero	1
一	yī	uno	0
不	bù	non	0
女	nǚ	femminile	0
大	dà	grande	0
八	bā	otto	1
力	lì	forza	1
马	mǎ	cavallo	0
米	mǐ	metro,riso	1
爸爸	bàba	papà	0
妈妈	māma	mamma	0
你好	nǐhǎo	salve,ciao	0
口	kǒu	bocca	1
明	míng	luminoso	2
好	hǎo	bene,buono	0
课	kè	lezione	1
谢谢	xièxie	grazie	0
现在	xiànzài	adesso	0
学习	xuéxí	studiare	0
学生	xuésheng	studente	0
再见	zàijiàn	arrivederci	0
他	tā	lui,egli	0
她	tā	lei,ella	0
他们	tāmen	loro,essi	0
她们	tāmen	elle,esse	0
我	wǒ	io	0
我们	wǒmen	noi	0
你	nǐ	tu	0
你们	nǐmen	voi	0
休息	xiūxi	riposare	2
吃	chī	mangiare	1
老师	lǎoshī	insegnante,professore,maestro	0
对不起	duìbuqǐ	scusa,mi dispiace	0
是	shì	essere,copula	0
谁	shuí,sheí	chi?,chi	0
吗	ma	particella interrogativa forte,particella	0
同学	tóngxué	compagno,compagno di classe	1
和	hé	e,congiunzione	0
也	yě	anche	0
朋友	péngyou	amico	1
意大利	yìdàlì	italia	0
小	xiǎo	piccolo	1
雨	yǔ	pioggia	2
说	shuō	dire	1
都	dōu	entrambi,tutti,ambo	0
呢	ne	e...?,...e?,e?	0
您	nín	lei,voi,tu formale,lei formale	1
贵	guì	prezioso,carino,caro	1
问	wén	chiedere,domandare	 1
爱好	àihào	hobby,passione,interesse	1
很	hěn	molto	0
喜欢	xǐhuan	piacere	1
对	duì	esattamente,si	0
吧	ba	ba,particella	0
文学	wénxué	letteratura	2
名字	míngzi	nome,nome proprio	0
姓	xìng	cognome	0
中国	zhōngguó	Cina	0
哪	nǎ	quale,quale?	0
哪儿	nǎr	dove,dove?	0
请问	qǐngwèn	mi scusi,perdonami	1
叫	jiào	chiamarsi,chiamare	0
什么	shénme	che cosa?,cosa?,quale?	0
国	guó	nazione,paese	1
北京	běijīng	pechino	2
班	bān	classe	2
请	qǐng	invitare,chiedere	2
英国	yīngguó	inghilterra	2
二	èr	due	1
三	sān	tre	1
四	sì	quattro	1
五	wǔ	cinque	1
六	liù	sei	1
七	qī	sette	1
八	bā	otto	1
九	jiǔ	nove	1
十	shí	dieci	1
看	kàn	vedere,leggere,guardare	1
电影	diànyǐng	film	1
书	shū	libro	1
听	tīng	ascoltare	1
音乐	yīnyuè	musica	1
常	cháng	spesso	0
电话	diànhuà	telefono	1
少	shǎo	poco	0
多少	duōshao	quanto?,quanti?,quanto,quanti	0
还	hái	anche,in più	0
很少	hěn shǎo	raramente	1
上网	shàng//wàng	navigare sul web,navigare su internet,navigare	2
跳舞	tiào//wǔ	danzare,ballare	 2
电视	diànshì	televisione,tv	 1
唱歌	chàng//gē	cantare	 2
去	qù	andare	0
家	huí	tornare,ritornare	1
普通话	pǔtōnghuà	lingua cinese	0
电脑	diànnǎo	computer	2
电脑科学	diànnǎo kēxué	computer science,informatica	3
亲	qīn	genitore,genitori	1
去	qù	andare	1
家	jiā	casa,famiglia	1
买	mǎi	comprare	2
回	huí	tornare	2
中文	zhōngwén	lingua cinese,cinese	2
咱们	zánmen	noi	0
今天	jīntiān	oggi	2
明天	míngtiān	domani	2
行	xíng	andar bene,andare bene	2
晚上	wǎnshang	sera	2
